month,aapl_return,msft_return,spy_return,cpi,unemployment,interest_rate,vix,target,predicted_prob_up,predicted_direction
2015-02-01,0.13748464457434315,-0.050265321556762645,0.028225682839622512,235.342,5.5,0.11,15.90421052631579,1,0.746809109617614,1
2015-03-01,0.004887068392232304,-0.018381717045257394,0.0008840613141257139,235.976,5.4,0.11,14.812727272727273,1,0.7358285735340278,1
2015-04-01,0.010482748057623831,0.0316826461929759,0.008467586684797369,236.222,5.4,0.12,13.494761904761905,1,0.730997668824292,1
2015-05-01,0.014939885925374723,0.09630738926150605,0.009773706161608265,237.001,5.6,0.12,13.3385,0,0.7408140424595332,1
2015-06-01,-0.006598426921759092,-0.029169676336249634,-0.0040021526620219895,237.657,5.3,0.13,14.339545454545457,0,0.7251704212583273,1
2015-07-01,-0.019336742319278417,-0.00766410957384038,-0.0009816500179485104,238.034,5.2,0.13,14.352727272727272,0,0.7182108902749638,1
2015-08-01,-0.09177389713529135,0.0007157313712300629,-0.023933238102022483,238.033,5.1,0.14,19.42809523809524,0,0.7305925132268327,1
2015-09-01,-0.004609698037198279,-0.03934271285832829,-0.045098884386159235,237.498,5.0,0.14,24.377142857142857,1,0.74297610264211,1
2015-10-01,0.004985775834485842,0.11798233532608877,0.04288907676816668,237.733,5.0,0.12,16.789545454545454,1,0.7149059983273315,1
2015-11-01,0.046136265402827066,0.10980622262884712,0.02957419128689429,238.017,5.1,0.12,16.21,0,0.7184341839294413,1
2015-12-01,-0.05384052188606642,0.031836735137109926,-0.01095322451256322,237.761,5.0,0.24,18.025454545454547,0,0.7232673468295657,1
2016-01-01,-0.11902129328179543,-0.05401535883087869,-0.06454565326930793,237.652,4.8,0.34,23.717894736842105,0,0.734733429582356,1
2016-02-01,-0.022766080341397307,-0.015983316810998793,-0.005573719398438025,237.336,4.9,0.38,22.517,1,0.7384468727706643,1
2016-03-01,0.08987543312260098,0.042688557480178635,0.06375381943161931,238.08,5.0,0.36,15.84909090909091,1,0.7186267360672861,1
2016-04-01,0.02370609640509463,0.012554264487069809,0.027957442827026318,238.992,5.1,0.37,14.300476190476191,0,0.7175819438523191,1
2016-05-01,-0.10556674097412105,-0.0539056636776918,-0.0031696020984586164,239.557,4.8,0.37,14.852857142857141,1,0.6992730675866228,1
2016-06-01,0.018221289302820128,0.002653496552809118,0.010906010852724815,240.222,4.9,0.38,17.774545454545457,1,0.7153855659930958,1
2016-07-01,0.020018414757416163,0.06249023047381424,0.03262260853059843,240.101,4.8,0.39,13.1585,1,0.6922775593671553,1
2016-08-01,0.09758320604477697,0.07029842784036193,0.015169352283288053,240.545,4.9,0.4,12.399565217391304,0,0.6952639988896431,1
2016-09-01,0.030355979987659803,-0.004467656340268522,-0.007261422030322982,241.176,5.0,0.4,14.21952380952381,0,0.7071599799805577,1
2016-10-01,0.043749932292482564,0.01934202464779071,-0.005245436847603443,241.741,4.9,0.4,14.585238095238097,1,0.7008394699542527,1
2016-11-01,-0.043574128393786486,0.029818800074034976,0.012096145997213438,242.026,4.7,0.41,15.236190476190476,1,0.6899489633053748,1
2016-12-01,0.038471302658056455,0.0398871654128583,0.039682479163291706,242.637,4.7,0.54,12.472380952380954,1,0.6823825902973383,1
2017-01-01,0.04577993939519944,0.017288099845576672,0.013949551495984062,243.618,4.7,0.65,11.6085,1,0.6806021485950378,1
2017-02-01,0.12165172630869733,0.017839957227376236,0.02558204728689807,244.006,4.6,0.66,11.530526315789475,1,0.672993533482579,1
2017-03-01,0.05302579484147642,0.014226936582867783,0.017867086805186738,243.892,4.4,0.79,11.89782608695652,0,0.6657445196253748,1
2017-04-01,0.01613589346484094,0.02051585422565278,-0.0018839081328733233,244.193,4.4,0.9,13.136315789473684,1,0.6739023501455133,1
2017-05-01,0.06819850542686814,0.04447813355403764,0.016808185068730892,244.004,4.4,0.91,10.862272727272726,1,0.6656692457256881,1
2017-06-01,-0.02745139925269104,0.0261539333485822,0.018108246222587058,244.163,4.3,1.04,10.513636363636364,1,0.6617155841706811,1
2017-07-01,0.003166724983264371,0.021162122383926885,0.00974211104639715,244.243,4.3,1.15,10.2645,1,0.6645121354717429,1
2017-08-01,0.07524378193903092,0.014255022003215332,0.0023979962445265985,245.183,4.4,1.16,11.975652173913044,1,0.6762525495976228,1
2017-09-01,-0.007717983915294599,0.023324967929667234,0.016724686600687915,246.435,4.3,1.15,10.437999999999999,1,0.6599472950034106,1
2017-10-01,0.001324610323203667,0.04835655531671708,0.02706259115746706,246.626,4.2,1.15,10.125454545454545,1,0.6512524959092345,1
2017-11-01,0.09505801151139624,0.07695042278426105,0.015810588960049846,247.284,4.2,1.16,10.54047619047619,1,0.65171143648429,1
2017-12-01,-0.0017917160045411566,0.014858025668773575,0.029246191287743625,247.805,4.1,1.3,10.2645,1,0.6474618984304982,1
2018-01-01,0.012296990849617386,0.06272813596503844,0.04825402506995824,248.859,4.0,1.41,11.062380952380952,0,0.6451860313842049,1
2018-02-01,-0.03384579363641095,0.016900276234576066,-0.028989618946309192,249.529,4.1,1.42,22.464736842105264,1,0.6959713818047192,1
2018-03-01,0.04218366875784951,0.018973220015023728,0.0009314092763195702,249.577,4.0,1.51,19.023809523809526,0,0.6790882800337106,1
2018-04-01,-0.0267163313771739,0.003398494265532695,-0.016876437999792042,250.227,4.0,1.69,18.267619047619046,1,0.6809701233626273,1
2018-05-01,0.09516888638773392,0.04268179572130319,0.01966152653368793,250.792,3.8,1.7,14.124545454545455,1,0.6496801610490448,1
